TCP,document_id,estc_id,tcp_author,ecco_author,tcp_title,ecco_title,tcp_year,ecco_year,tcp_pages,ecco_pages,tcp_volume_number,tcp_total_volumes,ecco_volume_number,ecco_total_volumes,author_score,title_score,year_score,pages_score,match_score,volume_match_found,correct
K086062.000,1004400600,T107179,"Holcroft, Thomas, 1745-1809.",Thomas Holcroft,"Human happiness: or the sceptic. A poem, in six cantos. By Thomas Holcroft, ...","Human happiness; or the sceptic. A poem, in six cantos. By Thomas Holcroft, Author of Duplicity, a Comedy.",1783,1783,74,74,1,1,1,1,53.333,66.667,100,100,68.667,TRUE,Y
K056668.000,1146200300,T065921,"Defoe, Daniel, 1661?-1731.",Daniel Defoe,"A further search into the conduct of the allies: and the late ministry, as to peace and war. Containing also a reply to the several letters and memorials of the States General. ...","A further search into the conduct of the allies, and the late ministry, as to peace and war. Containing also a reply to the several letters and memorials of the States-General. With a Vindication of the British Parliament in their late Resolves and Address relating to the Deficiencies of the Dutch.",1712,1712,78,78,1,1,1,1,50,69.118,100,100,68.603,TRUE,Y
K089235.000,95001500,T111156,"Cradock, Joseph, 1742-1826.",Joseph Cradock,"The life of John Wilkes, Esquire: in the manner of Plutarch. Being a specimen of a larger work.","The life of John Wilkes, Esq; in the manner of Plutarch. Being a specimen of a larger work.",1773,1773,38,38,1,1,1,1,50,69.048,100,100,68.571,TRUE,Y
K052227.001,356100101,T059731,"Homer.; Pope, Alexander, 1688-1744.",Alexander Pope,The Iliad: of Homer. Translated by Mr. Pope.; Iliad. English,The iliad of Homer. Translated by Mr. Pope.,1715,1715,384,384,1,6,1,6,52.941,66.667,100,100,68.529,TRUE,Y
K052227.002,356100102,T059731,"Homer.; Pope, Alexander, 1688-1744.",Alexander Pope,The Iliad: of Homer. Translated by Mr. Pope.; Iliad. English,The iliad of Homer. Translated by Mr. Pope.,1715,1715,301,301,2,6,2,6,52.941,66.667,100,100,68.529,TRUE,Y
K052227.003,356100103,T059731,"Homer.; Pope, Alexander, 1688-1744.",Alexander Pope,The Iliad: of Homer. Translated by Mr. Pope.; Iliad. English,The iliad of Homer. Translated by Mr. Pope.,1715,1715,259,259,3,6,3,6,52.941,66.667,100,100,68.529,TRUE,Y
K052227.004,356100104,T059731,"Homer.; Pope, Alexander, 1688-1744.",Alexander Pope,The Iliad: of Homer. Translated by Mr. Pope.; Iliad. English,The iliad of Homer. Translated by Mr. Pope.,1715,1715,310,310,4,6,4,6,52.941,66.667,100,100,68.529,TRUE,Y
K052227.005,356200105,T059731,"Homer.; Pope, Alexander, 1688-1744.",Alexander Pope,The Iliad: of Homer. Translated by Mr. Pope.; Iliad. English,The iliad of Homer. Translated by Mr. Pope.,1715,1715,294,294,5,6,5,6,52.941,66.667,100,100,68.529,TRUE,Y
K052227.006,356200106,T059731,"Homer.; Pope, Alexander, 1688-1744.",Alexander Pope,The Iliad: of Homer. Translated by Mr. Pope.; Iliad. English,The iliad of Homer. Translated by Mr. Pope.,1715,1715,249,249,6,6,6,6,52.941,66.667,100,100,68.529,TRUE,Y
K126077.000,724500900,T195204,"Lambrechts, Arentius Ferdinand.","Lambrechts, Arentius Ferdinand","A treatise on the gout: in which the cause is first briefly assigned, and secondly an effectual and certain cure is pointed out. By Arentius Ferdinand Lambrechts, M.D.","A treatise on the gout; in which the cause is first briefly assigned, and secondly an effectual and certain cure is pointed out. By Arentius Ferdinand Lambrechts, M.D.",1754,1754,21,21,1,1,1,1,100,29.932,100,100,68.469,TRUE,Y
